rank,player,average,year
1.0,John McComish,283.9,1987
2.0,Davis Love III,281.5,1987
3.0,Joey Sindelar,280.3,1987
4.0,Greg Norman,278.2,1987
4.0,Mac O'Grady,278.2,1987
6.0,Fred Couples,276.8,1987
7.0,Jay Don Blake,275.2,1987
8.0,Bill Glasson,275.1,1987
9.0,Brad Greer,274.3,1987
10.0,Craig Stadler,274.0,1987
11.0,Bill Sander,273.7,1987
12.0,Phil Blackmar,273.5,1987
13.0,Jodie Mudd,273.3,1987
14.0,Mark Calcavecchia,273.1,1987
15.0,Dan Pohl,273.0,1987
16.0,Curt Byrum,272.8,1987
17.0,Dan Forsman,272.4,1987
18.0,Kenny Perry,271.8,1987
19.0,Sam Randolph,271.6,1987
20.0,Denny Hepler,271.2,1987
21.0,Lon Hinkle,270.8,1987
22.0,Steve Pate,270.7,1987
23.0,Russ Cochran,270.5,1987
24.0,"Jim Gallagher, Jr.",270.1,1987
25.0,Payne Stewart,269.9,1987
26.0,Andy Bean,269.8,1987
27.0,Ted Schulz,269.7,1987
28.0,Tom Watson,269.6,1987
29.0,Paul Azinger,269.5,1987
29.0,Dave Rummells,269.5,1987
31.0,Trevor Dodds,269.4,1987
32.0,Rick Dalpos,269.1,1987
32.0,Duffy Waldorf,269.1,1987
34.0,Tom Purtzer,269.0,1987
35.0,Jim Carter,268.9,1987
35.0,Andrew Magee,268.9,1987
37.0,John Adams,268.8,1987
38.0,Clarence Rose,268.3,1987
38.0,Tom Sieckmann,268.3,1987
40.0,Ernie Gonzalez,268.2,1987
41.0,Steve Jones,267.9,1987
42.0,Jay Delsing,267.7,1987
42.0,Rocco Mediate,267.7,1987
44.0,George Burns,267.5,1987
45.0,Mark McCumber,267.1,1987
46.0,Donnie Hammond,267.0,1987
46.0,Sandy Lyle,267.0,1987
48.0,Ken Green,266.8,1987
49.0,Bobby Wadkins,266.6,1987
50.0,Jeff Lewis,266.5,1987
51.0,Dewey Arnette,266.4,1987
51.0,Perry Arthur,266.4,1987
51.0,Blaine McCallister,266.4,1987
54.0,Ed Dougherty,266.3,1987
55.0,John Riegger,266.2,1987
56.0,"Don Shirey, Jr.",266.1,1987
57.0,Gil Morgan,265.5,1987
58.0,Dave Eichelberger,265.4,1987
58.0,Mike Hulbert,265.4,1987
58.0,Ray Stewart,265.4,1987
61.0,Gary Hallberg,265.3,1987
61.0,Mike Sullivan,265.3,1987
63.0,Ronnie Black,265.2,1987
63.0,Denis Watson,265.2,1987
65.0,John Horne,264.9,1987
66.0,Bruce Lietzke,264.8,1987
67.0,David Graham,264.7,1987
68.0,Brad Faxon,264.6,1987
68.0,John Mahaffey,264.6,1987
70.0,Dave Barr,264.4,1987
71.0,Bobby Clampett,264.2,1987
71.0,Nick Price,264.2,1987
71.0,Bob Tway,264.2,1987
74.0,Buddy Gardner,264.1,1987
74.0,Ted Lehmann,264.1,1987
76.0,Larry Rinker,263.9,1987
76.0,Hal Sutton,263.9,1987
78.0,Tony Grimes,263.8,1987
79.0,Gene Sauers,263.6,1987
79.0,Scott Verplank,263.6,1987
81.0,Roger Maltbie,263.4,1987
81.0,Fuzzy Zoeller,263.4,1987
83.0,Bruce Soulsby,263.2,1987
84.0,Andy Dillard,263.1,1987
84.0,Fred Wadsworth,263.1,1987
86.0,Ben Crenshaw,263.0,1987
87.0,Chip Beck,262.6,1987
87.0,Keith Clearwater,262.6,1987
87.0,Jeff Sluman,262.6,1987
90.0,Bob Gilder,262.4,1987
90.0,Mike Smith,262.4,1987
92.0,David Peoples,262.3,1987
,Tour Average,262.0,1987
93.0,Bobby Cole,262.0,1987
94.0,Peter Jacobsen,261.9,1987
95.0,Mark Hayes,261.7,1987
96.0,Andy North,261.6,1987
96.0,J.C. Snead,261.6,1987
98.0,Steve Elkington,261.5,1987
99.0,Scott Hoch,261.4,1987
99.0,Barry Jaeckel,261.4,1987
99.0,Jim Thorpe,261.4,1987
102.0,Rex Caldwell,261.3,1987
102.0,Mike Nicolette,261.3,1987
104.0,Tim Simpson,261.0,1987
105.0,Frank Conner,260.9,1987
106.0,Robert Wrenn,260.7,1987
107.0,Mike McCullough,260.6,1987
107.0,Aki Ohmachi,260.6,1987
107.0,Curtis Strange,260.6,1987
110.0,Mike Donald,260.5,1987
111.0,Bernhard Langer,260.3,1987
111.0,Mark O'Meara,260.3,1987
111.0,Billy Pierot,260.3,1987
114.0,Bob Eastwood,260.2,1987
114.0,Gary Krueger,260.2,1987
116.0,Billy Kratzert,260.1,1987
117.0,Doug Tewell,260.0,1987
118.0,Dick Mast,259.9,1987
118.0,Howard Twitty,259.9,1987
118.0,Mark Wiebe,259.9,1987
121.0,Mike Bender,259.7,1987
122.0,T.C. Chen,259.5,1987
123.0,David Frost,259.2,1987
124.0,Raymond Floyd,259.1,1987
125.0,Larry Nelson,259.0,1987
126.0,Tony Sills,258.9,1987
126.0,Leonard Thompson,258.9,1987
128.0,Larry Mize,258.8,1987
129.0,Wayne Levi,258.5,1987
130.0,Bill Britton,258.4,1987
131.0,Brian Claar,258.3,1987
132.0,Dan Halldorson,258.1,1987
132.0,Chris Perry,258.1,1987
134.0,Antonio Cerda,257.7,1987
134.0,Danny Edwards,257.7,1987
134.0,Jay Haas,257.7,1987
134.0,Gary Koch,257.7,1987
134.0,Jim Nelford,257.7,1987
139.0,Charles Bolling,257.6,1987
139.0,Ron Streck,257.6,1987
141.0,Kenny Knox,257.5,1987
142.0,Harry Taylor,257.3,1987
143.0,Bob Lohr,257.1,1987
144.0,Brad Fabel,256.9,1987
145.0,Mark Lye,256.8,1987
145.0,Willie Wood,256.8,1987
147.0,David Ogrin,256.7,1987
148.0,D.A. Weibring,256.5,1987
149.0,Ken Brown,256.3,1987
150.0,Richard Zokol,256.1,1987
151.0,Vance Heafner,256.0,1987
151.0,Don Pooley,256.0,1987
153.0,"Ray Barr, Jr.",255.9,1987
154.0,Hale Irwin,255.3,1987
155.0,Philip Jonas,255.2,1987
156.0,Tom Byrum,255.1,1987
156.0,Tom Kite,255.1,1987
158.0,David Canipe,255.0,1987
159.0,Rick Fehr,254.9,1987
159.0,David Hobby,254.9,1987
161.0,Mark Brooks,254.7,1987
161.0,Brett Upper,254.7,1987
163.0,Lennie Clements,254.4,1987
163.0,Pat McGowan,254.4,1987
165.0,John Inman,254.3,1987
166.0,Doug Johnson,254.0,1987
167.0,Woody Blackburn,253.9,1987
168.0,John Cook,253.5,1987
169.0,Bill Rogers,253.4,1987
170.0,Loren Roberts,253.3,1987
170.0,Robert Thompson,253.3,1987
170.0,Lanny Wadkins,253.3,1987
173.0,David Edwards,253.0,1987
174.0,Ed Fiori,252.9,1987
175.0,Jim Wilson,252.3,1987
176.0,Mark Pfeil,252.2,1987
177.0,Tim Norris,250.9,1987
177.0,Scott Simpson,250.9,1987
179.0,Corey Pavin,250.3,1987
180.0,Tom Garner,249.9,1987
181.0,Calvin Peete,249.6,1987
182.0,Morris Hatalsky,248.7,1987
183.0,Jim Simons,248.6,1987
184.0,Jack Renner,248.2,1987
185.0,Mike Reid,247.9,1987
186.0,Hubert Green,246.0,1987
187.0,Dave Stockton,244.6,1987
188.0,Bob Murphy,244.2,1987
1.0,Steve Thomas,284.6,1988
2.0,Craig Stadler,279.5,1988
3.0,Greg Norman,279.4,1988
4.0,Bill Glasson,278.4,1988
5.0,Dan Pohl,277.9,1988
6.0,Davis Love III,276.4,1988
7.0,John Adams,276.1,1988
8.0,Kenny Perry,275.6,1988
8.0,Duffy Waldorf,275.6,1988
10.0,Mark Calcavecchia,275.5,1988
11.0,Bill Sander,275.0,1988
11.0,Tom Sieckmann,275.0,1988
13.0,Mac O'Grady,274.8,1988
14.0,Tommy Armour III,274.0,1988
15.0,Joey Sindelar,273.7,1988
16.0,Sandy Lyle,273.5,1988
17.0,Tom Purtzer,273.4,1988
18.0,Curt Byrum,273.2,1988
19.0,Barry Cheesman,273.0,1988
20.0,Dan Forsman,272.9,1988
21.0,Jodie Mudd,272.8,1988
22.0,Andy Bean,272.6,1988
22.0,Fred Couples,272.6,1988
24.0,"Jim Gallagher, Jr.",272.1,1988
24.0,Tom Watson,272.1,1988
26.0,Greg Ladehoff,271.9,1988
27.0,Ken Green,271.3,1988
27.0,Steve Jones,271.3,1988
29.0,Phil Blackmar,271.2,1988
30.0,Payne Stewart,270.9,1988
31.0,Sam Randolph,270.8,1988
32.0,Gil Morgan,270.4,1988
33.0,Brad Bryant,270.2,1988
34.0,Chip Beck,270.1,1988
34.0,Bob Gilder,270.1,1988
34.0,Steve Pate,270.1,1988
34.0,Dave Rummells,270.1,1988
38.0,Donnie Hammond,269.7,1988
39.0,Gene Sauers,269.4,1988
40.0,Jay Delsing,269.2,1988
41.0,John Huston,269.1,1988
41.0,Ray Stewart,269.1,1988
43.0,Andrew Magee,268.8,1988
44.0,John Mahaffey,268.7,1988
45.0,Bob Tway,268.5,1988
46.0,Mark McCumber,268.4,1988
47.0,Mike Hulbert,268.0,1988
48.0,Paul Trittler,267.8,1988
49.0,Robert Wrenn,267.7,1988
50.0,Bobby Wadkins,267.6,1988
50.0,Fuzzy Zoeller,267.6,1988
52.0,Clark Burroughs,267.3,1988
52.0,Scott Verplank,267.3,1988
54.0,Joey Rassett,266.9,1988
55.0,David Frost,266.8,1988
55.0,Blaine McCallister,266.8,1988
57.0,Paul Azinger,266.6,1988
57.0,Barry Jaeckel,266.6,1988
59.0,Clarence Rose,266.5,1988
60.0,Ronnie Black,266.4,1988
60.0,Jay Don Blake,266.4,1988
60.0,Tom Pernice Jr.,266.4,1988
63.0,Dave Eichelberger,266.3,1988
64.0,Fred Wadsworth,266.2,1988
65.0,Lance Ten Broeck,266.1,1988
66.0,Mike Sullivan,265.9,1988
67.0,Jim Carter,265.7,1988
67.0,Brian Tennyson,265.7,1988
69.0,Ernie Gonzalez,265.6,1988
69.0,Nick Price,265.6,1988
71.0,Dave Barr,265.5,1988
71.0,Bob Proben,265.5,1988
73.0,Mark Lye,265.4,1988
74.0,Jim Hallet,265.3,1988
75.0,Leonard Thompson,265.1,1988
76.0,Peter Jacobsen,264.9,1988
77.0,Denis Watson,264.8,1988
78.0,Bruce Lietzke,264.7,1988
78.0,Howard Twitty,264.7,1988
80.0,Roger Maltbie,264.4,1988
80.0,Rocco Mediate,264.4,1988
80.0,Tommy Nakajima,264.4,1988
83.0,Billy Ray Brown,264.2,1988
83.0,Russ Cochran,264.2,1988
83.0,Mark O'Meara,264.2,1988
86.0,Larry Nelson,264.1,1988
86.0,Bruce Zabriski,264.1,1988
88.0,Gary Hallberg,264.0,1988
89.0,Dan Halldorson,263.8,1988
90.0,David Peoples,263.6,1988
91.0,Brad Faxon,263.5,1988
92.0,Kenny Knox,263.4,1988
93.0,Bobby Clampett,263.2,1988
94.0,Bruce Soulsby,263.0,1988
,Tour Average,262.9,1988
95.0,Gary Koch,262.9,1988
96.0,Ed Dougherty,262.8,1988
97.0,Ben Crenshaw,262.6,1988
98.0,Lennie Clements,262.4,1988
98.0,Brad Fabel,262.4,1988
98.0,Mark Maness,262.4,1988
101.0,Mike Blackburn,262.3,1988
101.0,Hal Sutton,262.3,1988
103.0,Larry Rinker,262.2,1988
104.0,Mark Hayes,262.1,1988
105.0,Buddy Gardner,262.0,1988
106.0,Keith Clearwater,261.9,1988
107.0,Ken Brown,261.7,1988
108.0,Jeff Sluman,261.6,1988
108.0,Mark Wiebe,261.6,1988
110.0,Dillard Pruitt,261.4,1988
110.0,J.C. Snead,261.4,1988
112.0,Tim Simpson,261.3,1988
113.0,Raymond Floyd,261.1,1988
114.0,Danny Briggs,260.9,1988
114.0,Greg Powers,260.9,1988
116.0,Brian Mogg,260.7,1988
117.0,Roy Biancalana,260.6,1988
117.0,Dick Mast,260.6,1988
119.0,Bob Lohr,260.5,1988
120.0,Harry Taylor,260.3,1988
121.0,Jim Nelford,260.2,1988
122.0,George Burns,260.1,1988
122.0,Jay Haas,260.1,1988
124.0,Steve Elkington,259.9,1988
124.0,Chris Perry,259.9,1988
126.0,Mike Bender,259.7,1988
126.0,Rick Fehr,259.7,1988
128.0,Steve Lowery,259.6,1988
129.0,Bob Eastwood,259.5,1988
130.0,Tom Kite,259.4,1988
130.0,Billy Kratzert,259.4,1988
132.0,Billy Andrade,259.1,1988
133.0,Mike Donald,258.8,1988
134.0,Wayne Grady,258.7,1988
135.0,Wayne Levi,258.6,1988
136.0,Mark Brooks,258.5,1988
136.0,Brett Upper,258.5,1988
138.0,Scott Hoch,258.2,1988
139.0,George Archer,258.0,1988
139.0,Brandel Chamblee,258.0,1988
139.0,Jeff Coston,258.0,1988
142.0,Curtis Strange,257.9,1988
143.0,Doug Tewell,257.8,1988
144.0,Mike McCullough,257.5,1988
144.0,Tony Sills,257.5,1988
146.0,Ron Streck,257.2,1988
147.0,D.A. Weibring,257.1,1988
148.0,Jim Booros,257.0,1988
148.0,David Ogrin,257.0,1988
150.0,Tom Byrum,256.9,1988
150.0,Lanny Wadkins,256.9,1988
152.0,Bill Buttner,256.5,1988
153.0,Hubert Green,256.4,1988
154.0,Mike Hammond,256.0,1988
155.0,Corey Pavin,255.7,1988
156.0,Larry Mize,255.6,1988
157.0,Don Pooley,255.2,1988
157.0,Willie Wood,255.2,1988
159.0,Antonio Cerda,255.1,1988
160.0,Ed Fiori,255.0,1988
160.0,Rick Pearson,255.0,1988
162.0,Calvin Peete,254.9,1988
163.0,Fulton Allem,254.7,1988
164.0,John Cook,254.5,1988
165.0,Pat McGowan,254.2,1988
166.0,Robert Thompson,254.1,1988
167.0,Richard Zokol,253.7,1988
168.0,Frank Conner,253.5,1988
168.0,Mike Reid,253.5,1988
170.0,Aki Ohmachi,253.4,1988
171.0,Loren Roberts,253.1,1988
172.0,Hale Irwin,252.9,1988
173.0,"Ray Barr, Jr.",252.8,1988
173.0,Bill Britton,252.8,1988
175.0,David Canipe,252.5,1988
175.0,Kim Young,252.5,1988
177.0,Scott Simpson,252.3,1988
178.0,David Edwards,252.1,1988
179.0,Bob Murphy,251.7,1988
180.0,Danny Edwards,251.3,1988
181.0,Morris Hatalsky,250.2,1988
182.0,Richard Cromwell,249.7,1988
183.0,Tim Norris,249.6,1988
184.0,John Inman,249.5,1988
185.0,Jack Renner,246.2,1988
1.0,Ed Humenik,280.9,1989
2.0,David Jackson,280.7,1989
3.0,Duffy Waldorf,280.0,1989
4.0,Kenny Perry,276.9,1989
4.0,Bill Sander,276.9,1989
6.0,Trevor Dodds,276.2,1989
7.0,Doug Weaver,276.0,1989
8.0,Lon Hinkle,275.5,1989
9.0,Jodie Mudd,274.6,1989
10.0,Phil Blackmar,274.4,1989
11.0,Davis Love III,274.2,1989
12.0,Larry Silveira,274.0,1989
13.0,Ronnie McCann,273.9,1989
14.0,Tom Sieckmann,273.4,1989
15.0,Fred Couples,273.2,1989
15.0,Greg Norman,273.2,1989
17.0,John McComish,273.0,1989
18.0,Greg Ladehoff,272.7,1989
19.0,Dan Pohl,271.8,1989
20.0,Brad Bryant,271.7,1989
21.0,Tommy Armour III,271.4,1989
22.0,Bill Glasson,271.3,1989
22.0,Ted Schulz,271.3,1989
24.0,J.L. Lewis,271.2,1989
25.0,John Adams,270.8,1989
26.0,Mark Calcavecchia,270.6,1989
26.0,Rick Dalpos,270.6,1989
28.0,Ray Stewart,270.4,1989
29.0,Andrew Magee,270.1,1989
30.0,Sam Randolph,269.8,1989
31.0,Craig Stadler,269.7,1989
32.0,Dave Eichelberger,269.5,1989
33.0,Jay Delsing,269.0,1989
34.0,Steve Pate,268.9,1989
35.0,Clark Burroughs,268.5,1989
35.0,Donnie Hammond,268.5,1989
37.0,Curt Byrum,268.4,1989
38.0,Gil Morgan,268.2,1989
39.0,Jay Don Blake,268.0,1989
40.0,Dan Forsman,267.9,1989
41.0,Mark Hayes,267.6,1989
41.0,Tom Purtzer,267.6,1989
43.0,David Peoples,267.5,1989
44.0,Gary Hallberg,267.4,1989
45.0,Paul Azinger,267.1,1989
45.0,Brad Faxon,267.1,1989
47.0,Leonard Thompson,266.6,1989
48.0,"Jim Gallagher, Jr.",266.3,1989
49.0,Mac O'Grady,266.2,1989
49.0,Joey Sindelar,266.2,1989
51.0,Dave Rummells,266.1,1989
52.0,George Burns,265.8,1989
52.0,Blaine McCallister,265.8,1989
52.0,Greg Twiggs,265.8,1989
55.0,Ronnie Black,265.6,1989
55.0,Mike Hulbert,265.6,1989
57.0,Charlie Bowles,265.5,1989
58.0,Lance Ten Broeck,265.4,1989
59.0,Tom Watson,265.3,1989
60.0,Andy Bean,265.1,1989
61.0,"Don Shirey, Jr.",265.0,1989
62.0,J.C. Snead,264.8,1989
62.0,Payne Stewart,264.8,1989
62.0,Bob Tway,264.8,1989
62.0,Fuzzy Zoeller,264.8,1989
66.0,Hal Sutton,264.7,1989
67.0,Nick Price,264.6,1989
68.0,Robin Freeman,264.3,1989
68.0,Rocco Mediate,264.3,1989
70.0,Jim Thorpe,264.2,1989
71.0,Peter Jacobsen,263.8,1989
72.0,Barry Jaeckel,263.7,1989
73.0,Gene Sauers,263.6,1989
73.0,Robert Wrenn,263.6,1989
75.0,Rex Caldwell,263.5,1989
75.0,Jim Carter,263.5,1989
77.0,John Huston,263.4,1989
77.0,Tom Pernice Jr.,263.4,1989
77.0,Mike Sullivan,263.4,1989
80.0,Sandy Lyle,263.3,1989
80.0,Bobby Wadkins,263.3,1989
82.0,Bobby Clampett,263.2,1989
83.0,Dave Barr,263.1,1989
84.0,Mark Lye,263.0,1989
85.0,Keith Clearwater,262.9,1989
85.0,Russ Cochran,262.9,1989
87.0,Steve Jones,262.7,1989
87.0,Jack Kay Jr.,262.7,1989
89.0,Bob Wolcott,262.5,1989
90.0,Nolan Henke,262.2,1989
91.0,Tim Simpson,262.0,1989
92.0,Billy Ray Brown,261.9,1989
92.0,Ken Green,261.9,1989
94.0,Fulton Allem,261.8,1989
94.0,Mark Wiebe,261.8,1989
96.0,Clarence Rose,261.6,1989
97.0,Mark O'Meara,261.5,1989
98.0,P.H. Horgan III,261.4,1989
98.0,Billy Mayfair,261.4,1989
,Tour Average,261.1,1989
100.0,Jim Benepe,260.9,1989
101.0,Mark McCumber,260.8,1989
102.0,Dan Halldorson,260.7,1989
103.0,Rick Fehr,260.5,1989
103.0,Bob Gilder,260.5,1989
105.0,Mike Miles,260.3,1989
106.0,Kenny Knox,260.2,1989
107.0,Karl Kimball,260.0,1989
108.0,Tony Grimes,259.7,1989
109.0,Joel Edwards,259.6,1989
110.0,Billy Andrade,259.5,1989
111.0,Scott Hoch,259.1,1989
112.0,Bob Eastwood,258.8,1989
113.0,Jim Booros,258.7,1989
113.0,Webb Heintzelman,258.7,1989
115.0,Steve Elkington,258.6,1989
115.0,Jeff Hart,258.6,1989
115.0,Scott Verplank,258.6,1989
118.0,Wayne Levi,258.5,1989
119.0,Bill Britton,258.4,1989
120.0,Brian Tennyson,258.3,1989
121.0,Bruce Lietzke,258.1,1989
122.0,Roy Biancalana,258.0,1989
122.0,Mike Donald,258.0,1989
124.0,Chip Beck,257.9,1989
124.0,Buddy Gardner,257.9,1989
124.0,John Mahaffey,257.9,1989
124.0,Chris Perry,257.9,1989
128.0,Howard Twitty,257.8,1989
129.0,Larry Rinker,257.7,1989
129.0,Doug Tewell,257.7,1989
131.0,Ian Baker-Finch,257.5,1989
131.0,Billy Pierot,257.5,1989
133.0,Brad Fabel,257.2,1989
133.0,Don Reese,257.2,1989
135.0,Jim Hallet,257.0,1989
136.0,Larry Nelson,256.9,1989
137.0,David Frost,256.8,1989
137.0,Richard Zokol,256.8,1989
139.0,Roger Maltbie,256.7,1989
140.0,Jerry Pate,256.4,1989
141.0,Tom Kite,255.9,1989
141.0,Bernhard Langer,255.9,1989
141.0,Rick Pearson,255.9,1989
144.0,Dick Mast,255.8,1989
145.0,Bob Estes,255.6,1989
146.0,Nick Faldo,255.1,1989
147.0,Bill Buttner,254.9,1989
148.0,Mark Brooks,254.6,1989
149.0,Lennie Clements,254.5,1989
149.0,Jay Haas,254.5,1989
149.0,Jeff Sluman,254.5,1989
152.0,Hubert Green,254.4,1989
153.0,Fred Funk,253.7,1989
154.0,"Ray Barr, Jr.",253.5,1989
155.0,Gary Koch,253.4,1989
156.0,Curtis Strange,253.2,1989
156.0,Willie Wood,253.2,1989
158.0,Pat McGowan,253.1,1989
159.0,Isao Aoki,253.0,1989
159.0,Bob Lohr,253.0,1989
161.0,Don Pooley,252.8,1989
162.0,Wayne Grady,252.7,1989
163.0,Tony Sills,252.6,1989
164.0,Steve Hart,252.5,1989
165.0,Tom Byrum,252.1,1989
166.0,Ben Crenshaw,251.8,1989
167.0,Corey Pavin,251.5,1989
168.0,Ed Fiori,251.4,1989
168.0,Lanny Wadkins,251.4,1989
170.0,George Archer,251.3,1989
170.0,John Inman,251.3,1989
172.0,Larry Mize,250.9,1989
172.0,Robert Thompson,250.9,1989
174.0,David Canipe,250.8,1989
175.0,Raymond Floyd,250.6,1989
176.0,David Ogrin,250.5,1989
177.0,D.A. Weibring,250.2,1989
178.0,David Edwards,249.9,1989
179.0,Loren Roberts,249.2,1989
180.0,Scott Simpson,249.0,1989
181.0,Hale Irwin,248.9,1989
182.0,Billy Tuten,248.7,1989
183.0,Tim Norris,247.8,1989
184.0,Mike Reid,247.4,1989
185.0,Calvin Peete,246.6,1989
186.0,Morris Hatalsky,245.5,1989
1.0,Tom Purtzer,279.6,1990
2.0,John Adams,279.4,1990
3.0,Dan Forsman,278.0,1990
4.0,Neal Lancaster,277.6,1990
4.0,Greg Norman,277.6,1990
6.0,Lon Hinkle,277.4,1990
7.0,Bill Sander,276.7,1990
8.0,Davis Love III,276.6,1990
9.0,Duffy Waldorf,275.8,1990
10.0,Tommy Armour III,274.8,1990
11.0,Andy Bean,273.4,1990
12.0,Mark Calcavecchia,272.9,1990
13.0,Fred Couples,272.6,1990
13.0,Andrew Magee,272.6,1990
15.0,Greg Hickman,272.5,1990
16.0,David Peoples,271.8,1990
17.0,Michael Allen,271.6,1990
18.0,Steve Elkington,271.3,1990
19.0,Bill Glasson,271.1,1990
20.0,Steve Pate,270.9,1990
21.0,Curt Byrum,270.8,1990
21.0,Kenny Perry,270.8,1990
21.0,Tom Sieckmann,270.8,1990
24.0,Mike Sullivan,270.7,1990
24.0,Fuzzy Zoeller,270.7,1990
26.0,Blaine McCallister,270.4,1990
26.0,Craig Stadler,270.4,1990
28.0,Steve Lamontagne,269.5,1990
29.0,Gene Sauers,269.1,1990
29.0,Payne Stewart,269.1,1990
31.0,Donnie Hammond,268.7,1990
32.0,Brad Bryant,268.6,1990
33.0,Jay Delsing,268.5,1990
33.0,Steve Jones,268.5,1990
35.0,Robert Gamez,268.4,1990
36.0,Ronnie Black,268.2,1990
37.0,Ted Schulz,268.1,1990
38.0,Andy North,267.5,1990
38.0,Robert Wrenn,267.5,1990
40.0,Gary Hallberg,267.4,1990
40.0,Mark Hayes,267.4,1990
40.0,Tom Watson,267.4,1990
43.0,Phil Blackmar,267.3,1990
43.0,Jodie Mudd,267.3,1990
45.0,Paul Azinger,267.0,1990
45.0,Gil Morgan,267.0,1990
47.0,Dave Eichelberger,266.8,1990
48.0,Dave Rummells,266.7,1990
49.0,Joey Sindelar,266.6,1990
50.0,Jay Don Blake,266.4,1990
50.0,Bobby Wadkins,266.4,1990
52.0,"Jim Gallagher, Jr.",266.2,1990
53.0,Bob Gilder,266.0,1990
53.0,Billy Mayfair,266.0,1990
53.0,Larry Silveira,266.0,1990
56.0,Buddy Gardner,265.8,1990
57.0,Billy Ray Brown,265.7,1990
57.0,Ed Dougherty,265.7,1990
59.0,Tom Pernice Jr.,265.6,1990
59.0,Paul Trittler,265.6,1990
61.0,Fulton Allem,265.5,1990
61.0,Keith Clearwater,265.5,1990
61.0,Carl Cooper,265.5,1990
61.0,John Huston,265.5,1990
61.0,J.C. Snead,265.5,1990
66.0,Tim Simpson,265.4,1990
67.0,Richard Zokol,265.2,1990
68.0,P.H. Horgan III,265.1,1990
69.0,George Burns,265.0,1990
69.0,Dan Halldorson,265.0,1990
69.0,Leonard Thompson,265.0,1990
69.0,Bob Wolcott,265.0,1990
73.0,Lance Ten Broeck,264.9,1990
74.0,Patrick Burke,264.8,1990
75.0,Dave Barr,264.5,1990
75.0,Rick Todd,264.5,1990
77.0,Joel Edwards,264.4,1990
77.0,Bruce Lietzke,264.4,1990
79.0,Greg Bruckner,264.0,1990
79.0,Scott Hoch,264.0,1990
79.0,Barry Jaeckel,264.0,1990
79.0,Brian Kamm,264.0,1990
83.0,Mark O'Meara,263.9,1990
84.0,Mark McCumber,263.7,1990
84.0,Mike Schuchart,263.7,1990
84.0,Jeffrey Wilson,263.7,1990
87.0,Jim Hallet,263.5,1990
87.0,Nolan Henke,263.5,1990
89.0,Peter Jacobsen,263.3,1990
89.0,Mark Lye,263.3,1990
89.0,Rocco Mediate,263.3,1990
89.0,Hal Sutton,263.3,1990
89.0,Greg Twiggs,263.3,1990
94.0,"Don Shirey, Jr.",263.2,1990
95.0,Sean Murphy,263.1,1990
95.0,Ray Stewart,263.1,1990
97.0,Clark Burroughs,263.0,1990
97.0,Bobby Clampett,263.0,1990
97.0,Nick Price,263.0,1990
97.0,Bob Tway,263.0,1990
101.0,Bill Britton,262.8,1990
101.0,Grant Waite,262.8,1990
101.0,Jim Woodward,262.8,1990
104.0,Russ Cochran,262.7,1990
104.0,Scott Verplank,262.7,1990
106.0,Billy Andrade,262.5,1990
106.0,Jim Thorpe,262.5,1990
108.0,Ken Green,262.4,1990
,Tour Average,262.3,1990
109.0,Ian Baker-Finch,262.2,1990
110.0,Mike Hulbert,262.1,1990
111.0,Clark Dennis,261.9,1990
112.0,Chris Perry,261.7,1990
113.0,Jim Benepe,261.6,1990
114.0,John Dowdall,261.5,1990
115.0,Jay Haas,261.4,1990
115.0,Kenny Knox,261.4,1990
117.0,Dewey Arnette,261.3,1990
117.0,Tom Kite,261.3,1990
119.0,Brad Fabel,261.1,1990
119.0,Dennis Harrington,261.1,1990
121.0,Emlyn Aubrey,261.0,1990
122.0,Gary Koch,260.9,1990
123.0,Lee Janzen,260.8,1990
124.0,Jerry Pate,260.6,1990
125.0,Chip Beck,260.5,1990
126.0,Mitch Adcock,260.4,1990
127.0,Brad Faxon,260.2,1990
127.0,Dillard Pruitt,260.2,1990
129.0,Rick Fehr,259.8,1990
130.0,Wayne Levi,259.6,1990
130.0,John Mahaffey,259.6,1990
132.0,Jim Carter,259.3,1990
132.0,Doug Tewell,259.3,1990
134.0,Curtis Strange,259.1,1990
134.0,Harry Taylor,259.1,1990
136.0,Bob Eastwood,259.0,1990
136.0,Bob Estes,259.0,1990
136.0,Jeff Sluman,259.0,1990
139.0,Ben Crenshaw,258.8,1990
140.0,Mike Smith,258.7,1990
140.0,Kirk Triplett,258.7,1990
142.0,Howard Twitty,258.6,1990
143.0,Raymond Floyd,258.5,1990
143.0,David Frost,258.5,1990
143.0,D.A. Weibring,258.5,1990
146.0,Lanny Wadkins,258.1,1990
147.0,Willie Wood,257.9,1990
148.0,Mike Donald,257.7,1990
149.0,Lennie Clements,257.5,1990
150.0,Clarence Rose,257.2,1990
151.0,Tom Byrum,257.1,1990
151.0,Roger Maltbie,257.1,1990
153.0,Mark Brooks,256.9,1990
154.0,Jeff Hart,256.8,1990
154.0,Tony Sills,256.8,1990
156.0,John Cook,256.6,1990
157.0,Steve Hart,256.2,1990
157.0,Larry Rinker,256.2,1990
157.0,Sonny Skinner,256.2,1990
157.0,Brian Tennyson,256.2,1990
161.0,Jerry Anderson,256.1,1990
161.0,Tom Eubank,256.1,1990
163.0,Peter Persons,255.8,1990
164.0,David Canipe,255.6,1990
164.0,Hale Irwin,255.6,1990
164.0,Larry Mize,255.6,1990
167.0,Jack Ferenz,255.1,1990
